"drug","formulary_drug_cd"
"Heparin Flu","HEP1I"
"Risperidone (Disintegrating Tablet)","RISP1"
"pravastatin","PRAV20"
"Omeprazole-Sodium Bicarbonate",NULL
"Osmoglyn","GLYC50L"
"simvastatin","SIMVIND"
"MethylPREDNISolone Sodium Succ","MPRED1I"
"Heparin","HEPA30I"
"Fosphenytoin Sodium","FOSP100I"
"Atenolol","ATEN100"
"Hepsera",NULL
"Bortezomib","BORT3.5SC"
"Atgam","ATGAM"
"Intralipid 20%",NULL
"Levalbuterol (Xopenex)","LEVA0.63L"
"Foradil Aerolizer",NULL
"Dig","DIGO125"
"Insulin Aspart *NF* (for Insulin PUMP)","NOVO100P"
"Sertraline","SERT50"
"Calcium Gluconate","CALG500"
"Atacand HCT","CAND4"
"ibuprofen","IBUP400"
"DAUNOrubicin Citrate Liposomal","DAU50I"
"Octreotide Acetate","OCTR20I"
"Phenobarbital-Belladonna Alk","DONN162"
"Oxycodone (Sustained Release)","OXYC10"
"Alteplase","ALTE50I"
"Warfarin","WARF2"
"Nafcillin","NAFC2I"
"D10W","D10W250I"
"Mitoxantrone HCl","MITX20I"
"Niacin SR","NIAC500SR"
"Mineral Oil","MINE30L"
"Normocarb","NORMOCARB"
"Dipentum","OLSA250"
"Lithium Carbonate CR (Eskalith)","LITH450SA"
"DiphenhydrAMINE HCl","DIPH25L"
"CeftazIDIME","CEFT2I"
"B Complex Vitamins","VITB1"
"ICPKIT","ICPKIT"
"Isosorbide Mononitr","IMDU30"
"Dipyridamole","DIPY25"
"warfarin",NULL
"Actonel",NULL
"Phenyleprhine Ophth Soln 10%","PHEN10ES"
"Irbesartan","IRBE150"
"Alendronate Sodium","ALEN5"
"Meperidine PF","MEPE100AMP"
"Acetaminophen (Childrens)","ACET120R"
"cilo","CILL50"
"Azathioprine","AZAT75"
"Tacrolimus (Prograf Brand) Suspension","TACRSUSPBN"
"Dicyclomine","DICY20"
"Clopidogrel Desensitization","CLOP.25L"
"VIOKAS","VIOK"
"Amoxicillin Oral Susp.","AMOX125L"
"NEO*IV*Dexamethasone","NEODEX"
"Pyridoxine Hcl","PYRI100"
"LaMOTrigine","LAMO100BRAND"
"Heparin Flush Hickman (100 units/ml)","HEPA100SYR"
"budesonide","BUDE0.25"
"Deferoxamine Mesylate","DEFE500I"
"Fosamprenavir Calcium","FOSA700"
"Albumin 5% (12.5 g)","ALBU5500"
"Lidocaine 1% PF","LIDO1I"
"Aluminum-Magnesium Hydrox.-Simethicone","MAAL148"
"Hydrocortisone Cream 0.5%","HYDR0.5C"
"Hepar","HEPA30I"
"*NF* Imiglucerase","IMIG400I"
"Acetaminophe","ACET325"
"Levothyroxine Sodium","LEVO200IV"
"Lidocaine","LIDO100S"
"Phenytoin","DILA100"
"danazol",NULL
"Lithium Carbonate SR","LITHOBID"
"SURGIFOAM",NULL
"Lacosamide *NF*","LACO200I"
"Influenza Virus Vaccine","INFV"
"Sulfameth/Trimethoprim Suspension","BACTDS"
"tacroli","TACR1"
"Plan B",NULL
"Dobutamine","DOBPREM"
"ChlorproMAZINE","THOR25"
"Epoetin Alfa","EPO20I"
"Midazolam","MIDA5I"
"Imodium","LOPE1/7.5L"
"LaMI","LAMI100"
"Epinephrine 1:1000","EPI1I"
"Clotrimazole Cream","CLOT130C"
"Pramipexole","PRAM0.5"
"Nystatin Ointment","NYSTO"
"NEO*PO*Poly-VI-solution","NEOPOLYVI"
"Ethanol (Ethyl Alcohol)",NULL
"Vigamox","MOXI0.5ES"
"thyroid",NULL
"*NF* Temozolomide","TEMO20"
"Capoten","CAPT25"
"Heparin","AMID200"
"Metronidazole 0.75%","METR75G"
"sodium chlor","ICPKIT"
"ValGANCIclovir ","VALG450SM"
"Lepirudin","LEPR50I"
"Lotensin","BENA10"
"Vytorin 10-80",NULL
"Aminophylline","AMPH200"
"Morphine","MORP15"
"Heparin","FURO40I"
"AMOXicillin Oral Susp.","AMOX500L"
"Oxycodone-Acetaminophen","PERC"
"PENTObarbital Sodium","NEBU2500I"
"Diazoxide","DIAZ50L"
"Clopidogrel Desensitization","CLOP75"
"Mirapex","PRAM.25"
"Profilnine SD","PROFVIAL"
"NEO*IV*Fat Emulsion","NFAT6"
"exemestane","EXEM25"
"Carbamazepine XR","CARB100XR"
"Felodipine",NULL
"Quinine Sulfate","QUIN260"
"D5W","D5W"
"Digoxin","DIGO.5I"
"lidoca","LIDO5O"
"Indomethacin","INDO25L"
"NEO*PO*Furosemide (10mg/1ml)","NEOFUR"
"Glyset",NULL
"Heparin Flush Port ","HEP1I"
"Robitussin Chest Congestion","GUAI10"
"Metoprolo","TOPR100"
"Tylenol Arthritis Pain",NULL
"Humulin-R Insulin","INHRIV"
"codeine-guaifenesin","GGAC5L"
"nystat","NYST5L"
"mega","MEGE400L"
"candesartan","CAND16"
"Valproic","VAL250L"
"NEO*IV*Vancomycin","NVAN500I"
"SW","MAGGBASE"
"Famotidine (IV)","FAMO20I"
"Fosinopril Sodium","FOSI10"
"Nitroglycerin Patch","NTG15P"
"Enalapril Maleate","ENAL10"
"UNIP","THEO400TR"
"Pilocarpine 1%","PILO1ES"
"DiCYCLOmine","DICL10"
"Altace","RAMI5"
"Venlafaxine XR","VENL375XR"
"NEO*PO*AcetaZOLamide (20mg/1ml)","NEOACET2"
"HydrOXYzine HCl","HYDX25"
"Gentamicin 0.3% Ophth. Soln","GENT3ES"
"Neomycin-Polymyxin-Gramicidin","NEOSES"
"NEO*PO*Digoxin Elixer","DIG5P"
"NEO*PO*SODium Chloride","NACL234"
"Metoprolol XL (Toprol XL)","TOPR100"
"Tirofiban","TIRO12.5/250"
"Alum Ammonium","alum454"
"Regular Insulin","RHIIND"
"Divalproex Sodium ER","DEPA500ER"
"Aspirin Desensitization (Angioedema)","ASA81"
"Dextromethorphan Poly Complex","DEXT30L"
"Lidocaine 1%","LIDO120I"
"Octreotide Acetate","OCTR500S"
"Hepatitis B Vaccine","HEPA0.5I"
"Guaifene","GUAI600T"
"Morphine","MORP5I"
"Didanosine EC","DIDA250"
"Dakins 1/2 Strength","DAKINHS"
"Verapamil SR","VERA180SR"
"Naloxone HCl","NALO3L"
"Thalidomide",NULL
"Leucovorin Calcium","LEU100I"
"Theophylline","THEO200"
"Montelukast Sodium","MONT10"
"SYNAREL",NULL
"Coal Tar 3% Shampoo","COAL3S"
"Ceftazidime","CEFT2F"
"Miralax",NULL
"Surgicel",NULL
"Fosphenytoin Sodium","FOSP500I"
"Potassium Bicarbonate Eff","KBIC25"
"Quinidine Gluconate","QUIN800I"
"Phenylephrine HCl","PHEN50I"
"Methadone HCl","METH10L"
"Potassium Chloride","KCL20P"
"Calcium Chloride","CALC13.6I"
"Dexamethasone ","DEXA0.5L"
"simvastatin or placebo","SIMVIND"
"Multivitamin Liquid","MULTNEO"
"Revia","NALT50"
"Diltiazem","DILT90SR"
"Methylnaltrexone","METH12I"
"Levobunolol 0.5%","LEVO5ES"
"Methadone","METH10I"
"Vancomycin Desensitization","VANCODESEN"
"NEO*IVChlorothiazide","NEOCHLORO"
"miacal","CALC2N"
"Concerta ",NULL
"Budesonide (Nasal)","RHINOC"
"Sulfinpyrazone","SULF100"
"Nystatin ","NYST5L"
"Bacitracin","BACI25/1L"
"Lunesta",NULL
"Triamcinolone Acetonide 0.1% Cream","TRIA0.1/80O"
"Povidone Iodine","BETA10T"
"Enoxaparin","ENO3I"
"BuPROPion (Sustained Release)","BUPR100"
"Zonisamide",NULL
"Ampicillin Sodium","AMPI500"
"Syringe (SW)","SYRINGESW"
"HEPARIN","HEPA5I"
"lovastatin","LOVA20"
"Methadone","METD10"
"insulin ","IN73HI"
"*NF* Sunitinib","SUNI50"
"Prograf Suspension","TACR5BN"
"Ceftriaxone","CEFR1I"
"Naloxone","NALO3L"
"Buspirone","BUSP5"
"*NF* Nitroglycerin Ointment","NITR02O"
"Verapamil HCl","VERA40"
"lacosamide","LACO200"
"Physostigmine Salicylate","PHYS2I"
"Duloxetine","DULO20"
"Levothyroxine Sodium","LEVO25"
"NS (Excel)","EXCELNS250"
"OxycoDONE (Immediate Release) ","OXYC5"
"rev","SILD20"
"Imatinib Mesylate","IMAT400"
"NEO*PO*Spironolactone","NEOSPIR"
"Valproic Acid","VAL250L"
"Castor Oil","CAS30L"
"Percocet","PERC"
"lacosamide","LACO50"
"Nystatin Oral Suspension","NYST5L"
"Tacrolimus (Self Med)","TACR5SM"
"exemestane",NULL
"Aygestin",NULL
"Forteo",NULL
"PROPOF","PROP500I"
"Pentamidine-Inhalation","PENT300H"
"Albuterol MDI","PROAIR8.5H"
"Terconazole 80mg Vag. Supp","TERC80V"
"Divalproex Sodium","DIVA500"
"Oxcarbazepine","OXCA60L"
"D5W","D5W250"
"Albuterol ","PROAIR8.5H"
"MetFORMIN","METF500"
"Phenylephrine HCl 1%","PHEN1N"
"Clopidogrel 150 mg or placebo","CLOPIND"
"Niacin sr","NIAC500SR"
"Glimepiride","GLIM4"
"Dexamethasone","DEXA1L"
"CefazoLIN","CEFA10I"
"AcetaZOLAMIDE","ACE250"
"ValGANCIclov","VALG450SM"
"ESTRADIOL/NORETHINDR( Activella)",NULL
"Citalopram Hydrobromide","CITA20"
"Sunitinib",NULL
"Multivitamin","MULT5L"
"Amoxicillin-Clavulanic Acid","AUGM875"
"Triamcinolone Acetonide 0.025% Cream","TRIAM.025/45C"
"Insulin Aspart","NOVO100I"
"Zestril",NULL
"RiTONAvir","RITO100T"
"Moexipril","MOEX7.5"
"Diovan/Hydrochlorthiazide",NULL
"CefePIME","CEFE2I"
"candesartan","CAND4"
"Lovastatin","LOVA20"
"Pioglitazone HCl","PIOG45"
"Rozerem",NULL
"Hydromorphone HCl","HYDR2"
"Selenium Sulfide","SEL25T"
"Levobunolol 0.25%","BETA25D"
"Lysodren",NULL
"Isosorbide Dinitrate","ISOS40ER"
"Kaolin/Pectin","KAOP30"
"Zelnorm","TEGA6"
"PHENObarbital","PHEN130I"
"Lofibra",NULL
"Mebendazole","MEBE100"
"Ketamine HCl","KETA5I"
"Nicotine","NICO7P"
"D5W","NTGBASE"
"Hydroxyurea","HYDU500"
"Foscarnet","FOSC12000I"
"Insulin","HUMU500I"
"Bupropion HCl","BUPR100SR"
"Mesalamine Desensitization","MESADESEN10"
"Tyvaso 1.74mg/2.9 ml",NULL
"LANSOP","LANS30L"
"CefTAZidime","CEF2I"
"Pancrease","PANCEC"
"Dextrose 5%","D5W250"
"Interferon Alfa 2A",NULL
"Sildenafil Citrate","SILD50"
"Epoprostenol Na","EPOP1.5I"
"Aminophylline","AMIN100"
"HYDROmorphone (Dilaudid)",NULL
"Aripiprazole","ARIP5"
"Klonopin",NULL
"Melphalan","MELP2"
"Methadone HCl","METH50L"
"Bupropion","BUPR100"
"Midodrine","MIDO25"
"Pilocarpine 0.5%","PILO5ES"
"Epine","EPIPEN0.3I"
"Menest (esterified estrogens)",NULL
"Naphazoline-Pheniramine Ophth. Solution","NAPH15O"
"Oxycodone SR (OxyconTIN)","OXYC10"
"Fluticasone","FLUT110HFA"
"Latanoprost 0.005% Ophth. Soln.","LATA5OS"
"Methylphenidate HCl","RITA5"
"Alprostadil","ALPRNEO"
"SODIUM BICARB","NABC50S"
"Dutasteride",NULL
"Mupirocin Nasal Ointment 2%","BACT2/15C"
"GammaGARD Liquid","GAMML10I"
"Acarbose","ACAR50"
"Methylprednisolone","MPRED4"
"EpiPen","EPI1I"
"Diclofenac Sodium","DICL1ES"
"Tacrolimus","TACR1BN"
"NEO*NASAL*Phenylephrine 0.125%","NEONEOIH"
"Acetaminophen ","ACET100L"
"Aspirin 81 mg/ Placebo","ASPI81INDP"
"Morphine Sulfate SR","MSCO15"
"Dexame","DEXA2"
"DOCEtaxel (TaxoTERE)","TAXO80I"
"Rituximab","RITU500I"
"Sulfameth/Trimethoprim DS","BACTDS"
"NEO*IV*Ceftazidime","NCEFZIV"
"Ziprasidone Hydrochloride","GEOD20"
"Neurontin","GABA300"
"Spironolactone","SPIR100"
"Sodium Chloride (Hypertonic)","MURO5O"
"Gentamicin","GENT120PM"
"Minocycline HCl","MINO50"
"NS","NS150"
"Acetylcysteine","MUCOM20"
"Propranolol HCl","PROP80"
"Carvedilol","CARV3125"
"Vancomycin ","VANC250PR"
"Erythromycin Base","ERYT250"
"Maxair Autohaler","PIRB0.2H"
"Levothyroxine",NULL
"Aspirin EC","ASA300R"
"Alprazolam","ALPR25"
"Ascorbic Acid (Liquid)","ASCOR504L"
"Lidocaine 1% PF","LIDPF1I"
"Baclofen","BACL10"
"Megestrol","MEGE800L"
"Carmustine","CARM100I"
"Ampicillin-Sulbactam","UNASNEO"
"Bethanechol","BETH25"
"Nifedipine CR","ADAL60"
"clonazePAM","CLON5"
"Beclomethasone Dipro. AQ (Nasal)",NULL
"Micardis","TELM20"
"Prazosin","PRAZ5"
"Triamcinolone 0.1% Ointment","TRIA.1/80C"
"albuterol sulfate","PROAIR8.5H"
"sodium bica","NABC50S"
"Lamotrigine","LAMO25"
"Cefazolin Desensitization","CEFA1000I"
"Exelon","RIVA3"
"Colazal","BALS750"
"Aminocaproi","AMIC250L"
"Gelclair","GELCLAIR"
"Paricalcitol","PARI5I"
"*NF* Sildenafil Citrate","SILD50"
"Rosuvastatin","ROSU20"
"Psyllium","PSYL1W"
"Tretinoin 0.05% Cream","TRET.05C"
"Dexameth","DEXA4I"
"Primidone","PRIM250"
"NEO*IM*Haemophilus B Conjugate","HIBTITER"
"synth","LEVO100"
"Vimpat","LACO50"
"Lidocaine 1%/Epi 1::100,000","LIEPI20I"
"Lithium Carbonate SR (Lithobid)","LITHOBID"
"Tacrolimus (Self Med)","TACR0.5SM"
"Doxepin HCl","DOXE10"
"Isosorbide Mononitra","IMDU60"
"Nystatin oral ","NYST5L"
"Critic-Aid","CRIT6T"
"Dexamethasone","DEXA75"
"5 Syringes (NS)","SEND5SYR"
"Imiquimod","IMIQ5C"
"Potassium Phosphate","KPHO45I"
"ChlorproMAZINE","THOR10"
"Soln","THAMBASE"
"Ipratropium Bromide","IPRA2H"
"Maprotiline HCl",NULL
"Medium Chain Triglycerides","MCT4L"
"naratriptan","NARA2.5"
"potass","KCL20P"
"Peridex","CHLO15L"
"LeVETiracetam","LEVE250T"
"Prochlorperazine","PROC5L"
"Naloxone","NALO4I"
"Paroxetine HCl","PARO30"
"Mitomycin","MITO20I"
"Strattera",NULL
"Levoxyl","LEVO112"
"Ascorbic Acid","ASCO250"
"Betamethasone Dipro 0.05% Augmented Gel","BETAAUG0.05G"
"Bupivacaine 0.1%","BUPI5I"
"Bupivacaine 0.1%","BUPI0.1EPD"
"Betamethasone Valerate 0.1% Ointment","BETAVAL.1/15O"
"Sterile Water","SW3000I"
"Amoxicillin","AMOX875L"
"NS","FLUCBASE3"
"CefazoLIN","CEFA1F"
"Synthroid",NULL
"Epoetin Alfa","ALUMI30L"
"Sodium Chloride ","NACL23.4I"
"Viagra","SILD25"
"Treprostinil Sodium","TREP20I"
"Methadone (Dispersible Tablet)","METH40"
"Calcium Gluconate","MAGS1I"
"Sildenafil",NULL
"Influenza Virus Vaccine *Latex Free*","INFL0.5LF"
"Albuterol ","ALBU5H"
"Romiplostim","ROMI250I"
"Liothyronine Sodium","CYTO5T"
"Neo*PO*Gentian Violet 0.25 %","GENT0.25"
"Prochlorperazine Maleate","PROC5"
"Etidronate Disodium",NULL
"Vicodin ",NULL
"Dexamethason","DEXA15"
"Carbatrol","CARB200ER"
"Bisaco","BISA5"
"Midazolam HCl","MIDA2I"
"PredniSONE","PRED5SM"
"Gleevec","IMAT400"
"LeVETiracetam Oral Solution","LEVE500"
"Collagenase Ointment","STLTP"
"Heparin Lock Flush","HEP1I"
"Argatroban","ARGA250I"
"Ergotamine-Caffeine","ERGT1R"
"*NF* Pentostatin","PENT10I"
"Meclizine HCl","MECL125"
"HYDROmorphone","HYD50PCA"
"PROPOFOL","PROP100IG"
"Azithromycin ","AZIT500I"
"IDArubicin","IDAR10I"
"Gamunex","GAMU5I"
"Mycophenolate Sodium","MYFO180"
"Epinephrine ","EPI1I"
"diltiaz","TIAZ240"
"HEPARIN","HEPA30I"
"Pentoxifylline","PENT400"
"nys","NYST5L"
"VALTREX","VALA500"
"Labetalol HCl","LABE100"
"Morphine Sulfate","MORP1-8"
"Voltaren","DICL1ES"
"Mycophenolate Mofetil","MYCO250BN"
"glyco","GLYC1I"
"Levothyroxine Sodium",NULL
"CycloSPORINE (Sandimmune)","CSA100L"
"Carbatrol","CARB300ER"
"Insulin ASPART",NULL
"HYDROmorphone Infusion ? Comfort Care Guidelines","HYDR20/100NS"
"0.9% Sodium Chloride (EXCEL BAG)","EXCELNS250"
"Azithromycin","AZIT600"
"*NF* Mycophenolate Sodium","MYFO180"
"Gentamicin","GENT100PM"
"Flovent HFA",NULL
"Sodium Polystyrene Sulfonate","KAYEX30R"
"Edrophonium Chloride","EDRO10I"
"MEGACE","MEGE400L"
"cortroysn","CORTIND"
"Octreotide Acetate","OCTR1000I"
"Mul","MULT5L"
"Prempro",NULL
"Acyclovir","ACYC800"
"Procainamide HCl","PROC500I"
"Lactate Based CVVH Solution",NULL
"sodium ch","ICPKIT"
"Cephalexin","CEPH250S"
"Hydrocortisone Study Drug (*IND*)","HYDRIND"
"Methylprednisolone Na Succ.","METH125I"
"levemir",NULL
"Niaspan",NULL
"Slow Fe",NULL
"Acetylcysteine","ACET800I"
"erlotinib",NULL
"CeftAZIDime","CEFT2F"
"Sodium Polystyrene Sulfonate","KAYE15P"
"PROPOFOL","PROP200IG"
"Paliperidone ER","PALI3"
"Aspirin Desens","ASPIDESEN"
"Citric Acid/Sodium Citrate","BICI30L"
"Propofol (Generic)","PROP200IG"
"Leucovorin Calcium","LEUC5"
"Hydrochlorothiazide","HCTZ25"
"Verapamil HCl","VERA240SR"
"Magnesium Sulfate","MAG4PM"
"Exelon","RIVA15"
"Morphine Sulfate (PF)","MORP25I"
"Thrombin","THRO5T"
"Chlorpromazine HCl","THOR50"
"albendazole","ALBE200"
"Gabapentin (Liquid)","GABA250L"
"FTY720 1.25MG OR PLACEBO CAPS","FTY7201.25IND"
"Nisoldipine (Sular)",NULL
"Zonegran","ZON100"
"coenzyme Q10  200mg",NULL
"Potassium Chloride","KCL20I"
"Povidone Iodine 10% Ointment","BETA10O"
"Cimetidine HCl","CIME150I"
"Adefovir","ADEF10"
"Dexamethasone","DEXA60L"
"Chlorpromazine","THOR50"
"Morphine Sulfate","MORP10V"
"Nystatin","NYST5L"
"Octreotide Acetate","OCTR500I"
"Tolvaptan","TOLV15"
"Nicotine Polacrilex","NICO2"
"Pulmicort","BUDE200H"
"Carbamazepine","CARB200XR"
"Dorzolamide 2% Ophth. Soln.","DORZ2S"
"Ciprofloxacin HCl","CIPR250"
"*NF* Caspofungin Acetate","canc50i"
"K-DUR","POTA20"
"Pyrimethamine Desensitization","PYRI1/100L"
"Maalox","MAALLIDO120L"
"Monopril","FOSI40"
"Olanzapine","OLAN10"
"Rivastigmine","RIVA15"
"Tocopheryl","VITE400"
"Proprano","PROP60"
"NEO*IV*Chlorothiazide","NEOCHLORO"
"VinBLAStine (Velban)","VINB10I"
"bactri","BACT20L"
"AcetaZOLamide","ACE250"
"Rythmol SR","PROP225"
"Albuterol","ALBU2"
"Vancomycin Desensitization","VANCOD125L"
"Trifluoperazine HCl","TRIF1"
"Midazolam","MIDA2I"
"PHENYLEPHRINE HCL","PHEN10I"
"Fluconazole Desensitization","FLUCDESEN"
"Polyvinyl Alcohol-Povidone","REFRESH"
"Morphine Sulfat","MOR10L"
"Zofran","ONDA4ODT"
"Cromolyn Sodium","CROM40N"
"Ziprasidone","GEOD80"
"AMIODARONE","AMIO150I"
"Theophylline","THEO100"
"Folic Acid","FOLI1"
"Sulfasalazine","SULF500"
"Soriatane CK",NULL
"Moxifloxacin","MOXI400"
"aceta","ACET100L"
"Tacrolimus","TACR5BN"
"DiphenhydrAMINE","DIPH50I"
"Octagam","OCTA10I"
"Oxytocin","OXYT20/1000"
"Dextrose 2.5% in Water (D2.5W)",NULL
"Nitrofurantoin Macrocrystal","NITR100"
"Trace Minerals Cr-Cu-Mn-Se-Zn",NULL
"Acetamin","ACET325"
"Pregabalin","PREG5L"
"D5NS","D5NS1000"
"Guaifenesin-Dextromethorphan","DITU4L"
"Benazepril","BENA10"
"HumaLOG","HUMU100I"
"Ipratropium","IPRA2H"
"TISSEEL/ FS VH SD","GLUE2IND"
"Mirapex","PRAM..5"
"Methylphenidate HCl","RITA10"
"GlipiZIDE","GLIP5"
"Metoprolol","METO100"
"*NF* Cyclosporine","CYCL0.05ES"
"lidocaine","LIDO20L"
"*NF* Caspofungin Acetate","CANC50I"
"Pacerone","AMID200"
"Fluconazole","FLUC100L"
"Maxalt-MLT","RIZA10"
"Colchicine","COLC0.3HT"
"Olux-E",NULL
"Hemorrhoidal Suppository","HEMOSUPP"
"Soln.","SOLN3"
"Lidocaine","LIDE4500I"
"Lidocaine Topical","LIDO4S"
"Tacrolimus Suspension","TACRSUSP"
"MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPSULES","MYCOIND"
"Insulin","NOVO100I"
"Nicotine Lozenge","NICO2"
"Aspirin Desensitization (AERD)","ASA325"
"Divalproex (DELayed Release)","DIVA250"
"Methocarbamol","METC750"
"Femhrt 1/5",NULL
"Sirolimus","SIRO1SM"
"Morphine Infusion ? Comfort Care Guidelines","MORP100PM"
"Oxycodone-Acetaminophen (5mg-325mg)","ROXIOS"
"Cyclopentolate 1%","CYCL1O"
"Amphotericin B","AMP50I"
"Hydrocortisone Oint 1%","HYDR1O"
"VESIcare",NULL
"Liothyronine Sodium","LIOT10I"
"Fentanyl Citrate","FENT2.550"
"Azilect",NULL
"Tacrolimus ","TACR1SM"
"Acetaminophen","ACET325"
"Bleph-10 Ophth. Soln.","BLEP10ES"
"Monopril","FOSI20"
"Eptifibatide","INTEGR"
"Ampicil","AMPI500"
"Heparin Flush ","HEP1I"
"Fosinopril","FOSI20"
"Erythromycin","ERYT250L"
"Calcium Gluconate","CAGLMEQ"
"Divalproex Sodium ER","VAL250L"
"Phenytoin ","PHEN50"
"Acetami","ACET650L"
"Aspirin 325mg/ placebo","ASPI325INDP"
"Heparin (Porcine)","HEPA5I"
"NS","NS25"
"Ond","ONDA8ODT"
"Sodium Chloride 3% Inhalation Soln","SODI3N"
"Morphine Sulfate","MORP2000I"
"Flurbiprofen 0.03%","FLUR3ES"
"PrednisoLONE Oral Solution","NEOPRED2"
"Sodium Phosphate","FLEETEN"
"Renaphro",NULL
"Dronedarone",NULL
"Artificial Tear Ointment","ARTI3.5O"
"artificial","ARTI3.5O"
"Bosentan (Tracleer)",NULL
"Florinef","FLUD100"
"Aspirin (Buffered)","ASA325"
"Nicotine","NICO2"
"Lidocain","LIDO0550I"
"Fluocinolone Acetonide 0.01% Solution","SNLR160T"
"TISSEEL/FS VH SD","GLUE2IND"
"NS (Mini Bag Plus)","NS/MBP50I"
"Linezolid","LINE600"
"Levothyroxine Sodium","LEVO200"
"HYDROmorphone (Dilaudid)","HYDM4"
"Insulin Human Regular","INRHI"
"Potassium Chloride ","MICROK10"
"Trihexyphenidyl HCl","TRIH5"
"diltia","DILT120SR"
"Levothyroxine Sodium","LEVO150"
"1","FENT2I"
"Chlorpromazine",NULL
"Naloxo","NALO3L"
"Carvedilol","CARV125"
"traZODONE HCl","TRAZ50"
"*NF* Urea","UREA20C"
"NEO*SC*Polio Vaccine (Inactive)","POLIOV"
"Glycerin","GLYC50L"
"Vitamin B-1","THIA100"
"Lansoprazole Oral Suspension","LANS15L"
"Defibrotide (*IND*)","DEFI80IND"
"HYDROmorphone ","HYD12.5PCA"
"Zonisamide","ZONI25"
"Heparin ","HEPA10MUI"
"Etoposide","ETOP100I"
"Warfarin","WARF0"
"Bicitra","BICI30L"
"Belladonna Alk-Phenobarbital","DONN162"
"aspirin","ASA81"
"Atropine Sulfate Ophth 1%","ATRO1ES"
"Diphenhydramine Liquid","DIPH2.5L"
"Docusate Sodi","DOCU100"
"Benicar HCT",NULL
"Norflex",NULL
"Morphine Sulfate For Inhalation","DURA100I"
"sulfa","BACTDS"
"Heparin Flush","HEP1I"
"Megestrol ","MEGE400L"
"Lamivudine","LAMI100"
"Didanosine Chewable Tab","DIDA100"
"Oxycodone-Acetaminophen","ROXIOS"
"D5 1/2NS","D545NS1000"
"med name problem",NULL
"Renacidin","RENA500IR"
"Morphine Sulfate SR","MSCO60"
"Amlodipine Besylate","AMLO5"
"raloxifene","RALO60"
"Iloperidone","ILOPDOSEPACK"
"Sevelamer","SEVE403"
"Flunisolide","FLUN1H"
"*NF* Fenoldopam Mesylate","FENO10I"
"Estrogens Conjugated","ESTR125"
"NEO*PO*Phenobarbital","NEOPHEN"
"Esterified Estrogen (Menest)",NULL
"Endur-Acin",NULL
"Bupivacaine 0.1%",NULL
"Artificial Tears","ACET325"
"Sulfamylon","MAFE8.5C"
"Tacroli","TACR1"
"cycloSPORINE","CYCL0.05ES"
"Glipizide XL","GLUC2.5XL"
"Aripiprazole","ARIP10"
"Milrinone Lactate","PRIM1I"
"Pregabalin Oral Solution","PREG5L"
"Calciu","CALG1I"
"Lidocaine 1% ","LIDPF1I"
"Pyridoxine","PYRI50"
"Amerge","NARA2.5"
"fenofibrate","FENO48"
"Mexiletine","MEXI250"
"SODIUM BICAR","NABC50I"
"Lamotrig","LAMO100"
"Adcirca",NULL
"Amino Acids 4.25% W/ Dextrose 5%","CLIN1000I"
"Aluminum-Magnesium Hydroxide","MAAL148"
"Ampicillin","AMPI250"
"Divalproex","DIVA125SP"
"Pilocarpine 6%","PILO6ES"
"Mebaral","MEPH50"
"Penicillin G Potassium","PENGK3I"
"Requip XL",NULL
"Dulera (mometasone-formoterol) 200-5mcg/actuation",NULL
"Collagenase","STLTP"
"Sodium Chloride 0.9%  Flush","NACLFLUSH"
"bismuth subsalicy","PEPTOBIS"
"Carbamazepine ER","CARB100XR"
"Morphine Sulfate (Concentrated Oral Soln)","MORP20/120L"
"Heparin Flush Port (10units/ml)","HEP1I"
"SODIUM BICA","NABC50I"
"Calcitonin Salmon","CALC400S"
"Epinephrine","EPI400SYR"
"Mercaptopurine","MERC50"
"BuPROPion","BUPR150"
"Ascorbic Acid","ASCO1000I"
"metformin (FORTAMET)",NULL
"donepezil 5 mg or placebo","DONEIND"
"Latanoprost","LATA5OS"
"Acyclovir","ACYC200L"
"Abciximab","REOPI"
"Diltiazem Extended-Release","TIAZ180"
"Risedronate Sodium","RISE35"
"Avonex","IFBETA30I"
"Syringe","SYR"
"Loperamide","NEOLOPE2L"
"Loraze","LORA2I"
"maa","MABELI120"
"PredniSONE","PRED10"
"Fleet Glycerin Suppository",NULL
"Acyclovir Sodium","ACYC1000I"
"JANUVIA",NULL
"HYDROmorphone","H1B1ED"
"Estradiol Transdermal (Vivelle-DOT)",NULL
"Vancomycin ophthalmic 50mg/ml",NULL
"insulin pump","INSUPUMP"
"Insulin",NULL
"Heparin Flush (100 units/ml)","HEPF100I"
"Allopurinol","ALLO20S"
"Ethiodol",NULL
"Insulin","IN73HI"
"fluconazole","FLUC200SYR"
"Phenytoin","PHENY100"
"Advair HFA",NULL
"Magnesium Sulfate ","MAGS1I"
"Procainamide HCl","PROC500"
"Docusate Sodium (Liquid)","DOCU100"
"Methylprednisolone Na Succ.","MPRED1I"
"Heparin","HEP10I"
"Morphine Sulfate","MORP5I"
"Phosphorus","PHOS250"
"Levothyroxine Sodium","LEV100"
"NEO*PO*Fluconazole","NEOFLUC10L"
"Verapamil HCl","VERA120SR"
"Clindamycin 1% Solution","CLIN1S"
"Mexiletine HCl","MEXI150"
"Niacin","NIAC500"
"Nicotrol",NULL
"Ipratropium Bromide","IPRAPF"
